nama_produk,harga,nama_toko,lokasi,total_terjual,rating
KERUPUK SEBLAK MINI KENCUR JABLAY BANTET PEDAS 500GRAM KILOAN,Rp21.000,ajs(ale jaya snack),Jakarta Utara,18 terjual,5.0
PILUS CIKUR SARI RASA 500GR - ORIGINAL,Rp 15.500,,,500+ terjual,4.9
PILUS CIKUR SARI RASA - ORIGINAL,Rp 30.000,,,250+ terjual,4.9
CUANKI LIDAH,Rp 14.000,,,250+ terjual,4.9
Bundle 3pcs - Seblak Basranger Extra Pedas 200gr Makanan Instan,Rp51.900,Rak Sebelah,Jakarta Pusat,40+ terjual,4.8
Paket Isi 4 Batagor Instan | Makaroni Basah | Seblak Basah,Rp64.906,Lakoca Official Shop,Cimahi,30+ terjual,4.9
KERUPUK SEBLAK SEBRING PEDAS - 500gr,Rp43.610,G Cakery,Jakarta Pusat,27 terjual,5.0
Krupuk Seblak Bunga,Rp24.000,@Arka Snack,Kab. Kudus,,
Seblak Kuah Instant Tom Yum Pusaka Parahyangan,Rp15.000,indieshop786,Kab. Garut,,
KRUPUK / KERUPUK MENTAH / KERUPUK SEBLAK MENTAH 1kg SLONDOK,Rp21.000,SuperSnacksShop,Kab. Bandung,100+ terjual,4.9
Kerupuk Merah/Kerupuk Seblak Mentah,Rp7.000,Nyonya Sayur,Jakarta Pusat,100+ terjual,5.0
SEBLAK INSTAN MOMMY,Rp13.500,Rav Jaya Display,Kab. Tangerang,1 rb+ terjual,4.8
aneka kerupuk mix untuk bahan seblak 500 gr,Rp14.999,aghniya,Tangerang Selatan,100+ terjual,5.0
kerupuk seblak bantat kriwil syahrini 250gr oleh oleh bandung,Rp19.000,SIMANALAGI-KOSAMBI-BANDUNG,Bandung,100+ terjual,4.9
Seblak Instan Pedas Home Made,Rp3.500,the Dhecip,Tangerang Selatan,2 rb+ terjual,4.8
Seblak Instan Ceu Nthien Khas Bandung Rasana Ngeunah Pisan,Rp15.000,Central Seblak Nusantara,Tangerang Selatan,1 rb+ terjual,5.0
SEBLAK INSTANT TERMURAH,Rp3.999,Pusat Cuankie & Cemilan Frozen,Jakarta Timur,10 rb+ terjual,4.8
seblak instant sajodo snak,Rp19.000,hikmah berkah jaya,Jakarta Barat,750+ terjual,4.8
Mommy Seblak Basah Instant 100gr,Rp10.000,emmoshop,Kab. Bogor,2 rb+ terjual,4.9
"seblak kering pedas 250 gr/seblak kencur/kerupuk seblak,enak dan gurih",Rp9.999,aghniya,Tangerang Selatan,250+ terjual,4.8
"siomay kering bandung 500 gr. untuk baso aci, seblak ,mie ayam dll",Rp14.999,aghniya,Tangerang Selatan,750+ terjual,4.9
Kerupuk Seblak kering pedas RIKI,Rp8.800,Van Kios,Bandung,1 rb+ terjual,4.9
SEBRING CAMPUR/ Seblak kering Bumbu kacang/ varian pedas-original,Rp20.000,KailaAini_collection,Kab. Bandung,30+ terjual,5.0
GURILEM MINI 1KG Siomay Kering Toping Baso Aci Cuanki Seblak,Rp29.999,Pedas Gilaa,Surabaya,500+ terjual,4.9
Seblak Instan Pedas Home Made,Rp3.500,the Dhecip,Tangerang Selatan,2 rb+ terjual,4.8
Seblak Instan Ceu Nthien Khas Bandung Rasana Ngeunah Pisan,Rp15.000,Central Seblak Nusantara,Tangerang Selatan,1 rb+ terjual,5.0
SEBLAK INSTANT TERMURAH,Rp3.999,Pusat Cuankie & Cemilan Frozen,Jakarta Timur,10 rb+ terjual,4.8
seblak instant sajodo snak,Rp19.000,hikmah berkah jaya,Jakarta Barat,750+ terjual,4.8
Mommy Seblak Basah Instant 100gr,Rp10.000,emmoshop,Kab. Bogor,2 rb+ terjual,4.9
KERUPUK SEBLAK VIRAL RAFAEL ,Rp5.500,D'gegaresan,Jakarta Utara,100+ terjual,4.3
seblak rafael / seblak coet / seblak cocol,Rp7.500,babykhai,Jakarta Timur,250+ terjual,4.8
Krupuk seblak mawar rafael pedas 250gram,Rp12.500,Markas Makaroni,Kab. Bekasi,40+ terjual,4.9
Krupuk seblak mawar rafael pedas 500gr,Rp20.000,Markas Makaroni,Kab. Bekasi,100+ terjual,5.0
jastip SEBLAK RAFAEL || SEBLAK MAMANG RAFAEL || SEBLAK VIRAL,Rp40.000,Naturally Plus Jakarta,Kab. Tangerang,50+ terjual,4.8
Seblak Instan Pedas Home Made,Rp3.500,the Dhecip,Tangerang Selatan,2 rb+ terjual,4.8
KERUPUK PEDAS KRIWIL BANTAT ISI 250gr KRITING SEMBRING SEBLAK MAWAR,Rp17.248,AHR Jaya Snack,Jakarta Timur,20 terjual,5.0
SEBRING KRUPUK KERUPUK SEBLAK KERING PEDAS DAUN JERUK 1KG CABE ASLI,Rp16.000,Aydaa Snack,Surakarta,40+ terjual,4.9
Seblak Instan Komplit Pedas Gurih Nikmat,Rp5.999,Baso Aci Ayang,Kab. Garut,2 rb+ terjual,4.9
KERUPUK SEBLAK MINI KENCUR JABLAY BANTET PEDAS 500GRAM KILOAN,Rp21.000,ajs(ale jaya snack),Jakarta Utara,18 terjual,5.0
GEPREK RANGU / BASO GEPREK TULANG RANGU / SAMIRAOS / BASO ACI / DOWER - SEBLAK SOUN,Rp 16.850,,,1 rb+ terjual,4.9
GEPREK RANGU / BASO GEPREK TULANG RANGU / SAMIRAOS / DOWER / BASO ACI - SEBLAK SOUN,Rp 16.850,,,7 rb+ terjual,4.9
MIE LIDI SIUMANG / LIDI SIUMANG / LIDI SI UMANG / MIE LIDI SI UMANG - Kemasan Kertas,Rp 12.899,,,9 rb+ terjual,5.0
kerupuk seblak pedas 1/2 kg / kerupuk seblak ½ - Pedas,Rp20.482,Adila_Putri_Snack,Kab.Ciamis,90+ terjual,4.8
Paket 5 pcs Seblak Instan Ceu Nthien terdekat Viral,Rp72.500,Central Seblak Nusantara,Tangerang Selatan,10 terjual,5.0
CUANKI LIDAH,Rp14.000,jajanangarut19,Jakarta Selatan,250+ terjual,4.9
seblak instan YS,Rp100.000,yossy food,Kab. Karawang,500+ terjual,
Paket Seblak Komplit Instan Pedas Gurih Cobek Kerupuk Mawar Viral,Rp15.000,LarisManis shopp,Kab. Bandung,,
seblak ceker pedas kerupuk,Rp9.000,ken-olshop,Bekasi,250+ terjual,5.0
INDOMIE MI INSTANT RASA SEBLAK HOT JELET,Rp2.780,Hypermart Pakuwon,Surabaya,500+ terjual,4.8
"BATAGOR MINI KERING 100 PCS TOPING BASO ACI, SEBLAK DAN MIE INSTAN",Rp8.200,global cookware1,Jakarta Barat,500+ terjual,4.9
kerupuk mix 100 gram campuran seblak,Rp2.999,ArfaOnlineShop,Tangerang,20 terjual,5.0
Seblak Instan Sehati,Rp13.000,Official Kartika Sari,Bandung,500+ terjual,5.0
Seblak Instan Pedas Home Made,Rp3.500,the Dhecip,Tangerang Selatan,2 rb+ terjual,4.8
Seblak Instan Ceu Nthien Khas Bandung Rasana Ngeunah Pisan,Rp15.000,Central Seblak Nusantara,Tangerang Selatan,1 rb+ terjual,5.0
SEBLAK INSTANT TERMURAH,Rp3.999,Pusat Cuankie & Cemilan Frozen,Jakarta Timur,10 rb+ terjual,4.8
seblak instant sajodo snak,Rp19.000,hikmah berkah jaya,Jakarta Barat,750+ terjual,4.8
Mommy Seblak Basah Instant 100gr,Rp10.000,emmoshop,Kab. Bogor,2 rb+ terjual,4.9
"seblak kering pedas 250 gr/seblak kencur/kerupuk seblak,enak dan gurih",Rp9.999,aghniya,Tangerang Selatan,250+ terjual,4.8
"siomay kering bandung 500 gr. untuk baso aci, seblak ,mie ayam dll",Rp14.999,aghniya,Tangerang Selatan,750+ terjual,4.9
Kerupuk Seblak kering pedas RIKI,Rp8.800,Van Kios,Bandung,1 rb+ terjual,4.9
SEBRING CAMPUR/ Seblak kering Bumbu kacang/ varian pedas-original,Rp20.000,KailaAini_collection,Kab. Bandung,30+ terjual,5.0
GURILEM MINI 1KG Siomay Kering Toping Baso Aci Cuanki Seblak,Rp29.999,Pedas Gilaa,Surabaya,500+ terjual,4.9
Seblak Instan Pedas Home Made,Rp3.500,the Dhecip,Tangerang Selatan,2 rb+ terjual,4.8
Seblak Instan Ceu Nthien Khas Bandung Rasana Ngeunah Pisan,Rp15.000,Central Seblak Nusantara,Tangerang Selatan,1 rb+ terjual,5.0
SEBLAK INSTANT TERMURAH,Rp3.999,Pusat Cuankie & Cemilan Frozen,Jakarta Timur,10 rb+ terjual,4.8
seblak instant sajodo snak,Rp19.000,hikmah berkah jaya,Jakarta Barat,750+ terjual,4.8
Mommy Seblak Basah Instant 100gr,Rp10.000,emmoshop,Kab. Bogor,2 rb+ terjual,4.9
KERUPUK SEBLAK VIRAL RAFAEL ,Rp5.500,D'gegaresan,Jakarta Utara,100+ terjual,4.3
seblak rafael / seblak coet / seblak cocol,Rp7.500,babykhai,Jakarta Timur,250+ terjual,4.8
